,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
229,TTWK000542811,2022/5/20 14:08:52,2022/5/20 14:09:17,TRUE,0.4171,1,42532,42532
230,TTWK000542828,2022/5/20 14:09:36,2022/5/20 14:10:53,TRUE,1.284183333,1,42532,42532
231,TTWK000542816,2022/5/20 14:11:06,2022/5/20 14:11:48,TRUE,0.6913166667,1,42532,42532
232,TTWK000542817,2022/5/20 14:11:57,2022/5/20 14:12:44,TRUE,0.7822,1,42532,42532
233,TTWK000542819,2022/5/20 14:12:54,2022/5/20 14:14:12,TRUE,1.303933333,1,42532,42532
234,TTWK000542821,2022/5/20 14:13:01,2022/5/20 14:13:39,TRUE,0.6376,1,42436,42436
235,TTWK000559881,2022/5/20 14:14:13,2022/5/20 14:15:03,TRUE,0.8374,1,42436,42436
236,TTWK000542820,2022/5/20 14:14:20,2022/5/20 14:15:06,TRUE,0.7701666667,1,42532,42532
237,TTWK000542818,2022/5/20 14:15:25,2022/5/20 14:16:06,TRUE,0.6835666667,1,42532,42532
238,TTWK000542815,2022/5/20 14:16:37,2022/5/20 14:17:31,TRUE,0.9056833333,1,42532,42532
239,TTWK000542814,2022/5/20 14:17:56,2022/5/20 14:19:59,TRUE,2.059566667,1,42532,42532
240,TTWK000542824,2022/5/20 14:18:48,2022/5/20 14:19:30,TRUE,0.71015,1,42436,42436
241,TTWK000542806,2022/5/20 14:19:39,2022/5/20 14:20:11,TRUE,0.5319333333,1,42550,42550
242,TTWK000559882,2022/5/20 14:20:23,2022/5/20 14:21:23,TRUE,0.9978333333,1,42532,42532
243,TTWK000559864,2022/5/20 14:20:25,2022/5/20 14:21:05,TRUE,0.6717666667,1,42550,42550
244,TTWK000542807,2022/5/20 14:21:16,2022/5/20 14:22:02,TRUE,0.77275,1,42550,42550
245,TTWK000559885,2022/5/20 14:21:19,2022/5/20 14:22:12,TRUE,0.8842333333,1,42436,42436
246,TTWK000559883,2022/5/20 14:21:32,2022/5/20 14:24:25,TRUE,2.89385,1,42532,42532
247,TTWK000559865,2022/5/20 14:22:16,2022/5/20 14:23:25,TRUE,1.149383333,1,42550,42550
248,TTWK000542826,2022/5/20 14:23:52,2022/5/20 14:25:02,TRUE,1.154866667,1,42550,42550
